OR8S1	Olfr283,Olfr282
Olfr108	
Olfr1375	
Olfr845	OR7G1,OR7G2
Olfr1294	
Olfr352	
Olfr339	
Olfr1423	OR4D11
OR4D11	Olfr1423
Olfr1290	
Olfr1240	OR4A16
Olfr1302	
Olfr58	
Olfr1311	
Olfr3	OR1J1
OR1J1	Olfr3
Olfr346	
Olfr282	OR8S1
Olfr347	
Olfr1253	OR4A16,OR4A5,OR4A8
OR4A5	Olfr1253,Olfr1251,Olfr1238
Olfr371	
Olfr984	OR4D5,OR8D4
OR4D5	Olfr984
OR8D4	Olfr984,Olfr985
Olfr1283	
Olfr1248	OR4A16
Olfr344	
Olfr107	
Olfr39	OR7D4
Olfr1242	OR4A16
Olfr1251	OR4A16,OR4A5,OR4A8
Olfr731	
Olfr1280	
Olfr846	OR7G2
Olfr533	
Olfr835	OR7G2
Olfr1243	OR4A16
Olfr859	
Olfr1303	OR4F21,OR4F29
OR4F21	Olfr1303
OR4F29	Olfr1303
Olfr837	OR7G2
Olfr401	OR3A1
Olfr870	
Olfr1247	OR4A16,OR4A8
Olfr1238	OR4A16,OR4A5,OR4A8
Olfr139	
Olfr866	OR7E24
Olfr1254	OR4A16,OR4A8
Olfr862	
Olfr57	OR7A10,OR7A17
Olfr410	OR3A1
Olfr830	OR7G2
Olfr1179	
Olfr1178	
Olfr1356	OR7C1,OR7C2
OR7C1	Olfr1356
OR7C2	Olfr1356
Olfr1355	
Olfr851	OR7G2
Olfr871	
Olfr430	OR6N2
OR6N2	Olfr430
Olfr853	OR7G2
Olfr828	OR7G2
Olfr843	OR7G1,OR7G2
Olfr397	
Olfr1351	OR7A10,OR7A17
Olfr403	OR1A1,OR1A2
Olfr1260	OR4C5
OR4C5	Olfr1260
Olfr1506	OR4X2
Olfr18	OR7E24
Olfr285	
Olfr1279	
Slc40a1	SLC40A1
SLC40A1	Slc40a1
Gata3	GATA3
GATA3	Gata3
Etv4	ETV4
ETV4	Etv4
Hmx3	HMX3
HMX3	Hmx3
Gm5771	PRSS3
PRSS3	Gm5771,Try10,Prss3,Prss1,Try5,Try5,Try4,Prss2
Try10	PRSS1,PRSS2,PRSS3,PRSS3P2
PRSS1	Try10,2210010C04Rik
PRSS2	Try10,Try5,Try5,Try4
PRSS3P2	Try10,Try5,Try5,Try4
Gm2663	
Prss3	PRSS3
Prss1	PRSS3
2210010C04Rik	PRSS1
Try5	PRSS2,PRSS3,PRSS3P2,PRSS2,PRSS3,PRSS3P2
1810009J06Rik	
Try4	PRSS2,PRSS3,PRSS3P2
Prss2	PRSS3
Rack1	RACK1
RACK1	Rack1
Fthl17f	FTHL17
FTHL17	Fthl17f,Fthl17b,Fthl17a,Fthl17e
Fthl17c	
Fthl17b	FTHL17
Fthl17d	
Fthl17a	FTHL17
Fth1	FTH1
FTH1	Fth1
Ftmt	FTMT
FTMT	Ftmt
Fthl17e	FTHL17
Slc6a3	SLC6A3
SLC6A3	Slc6a3
Hes1	HES1
HES1	Hes1
Cd74	CD74
CD74	Cd74
Tcp1	TCP1
TCP1	Tcp1
Smad3	SMAD3
SMAD3	Smad3
Egr2	EGR2
EGR2	Egr2
Myo7a	MYO7A
MYO7A	Myo7a
Apaf1	APAF1
APAF1	Apaf1
Bmp4	BMP4
BMP4	Bmp4
Lrrk2	LRRK2
LRRK2	Lrrk2
Otx2	OTX2
OTX2	Otx2
Etv6	ETV6
ETV6	Etv6
Cldn17	CLDN17
CLDN17	Cldn17
Cldn6	CLDN6
CLDN6	Cldn6
Cldn9	CLDN9
CLDN9	Cldn9
Jag2	JAG2
JAG2	Jag2
Ikzf1	IKZF1
IKZF1	Ikzf1
Cebpd	CEBPD
CEBPD	Cebpd
Gria2	GRIA2
